p,U:0,U:1,U:2,IntegrationTime,Vorticity:0,Vorticity:1,Vorticity:2,Rotation,AngularVelocity,Normals:0,Normals:1,Normals:2,Points:0,Points:1,Points:2,Point ID
1054.34,0.003767,0.00426493,0,1420.8,0,0,-0.0434653,-1.64424e-17,0,4.97618e-08,-4.43245e-08,-1,-0.579536,-2.79445,0.5,83
1054.43,0.00343876,0.00356049,0,1432.99,0,0,-0.0444481,-1.64424e-17,0,4.79739e-08,-4.62536e-08,-1,-0.532593,-2.74342,0.5,84
1054.49,0.00307935,0.00288747,0,1442.02,0,0,-0.0449377,-1.64424e-17,0,4.55198e-08,-4.86707e-08,-1,-0.500813,-2.71197,0.5,85
1054.55,0.00278242,0.00235013,0,1452.78,0,0,-0.0409866,-1.64424e-17,0,4.37544e-08,-5.2426e-08,-1,-0.466788,-2.6819,0.5,86
1054.62,0.00243848,0.00174593,0,1465.78,0,0,-0.0414792,-1.64424e-17,0,4.03192e-08,-5.70907e-08,-1,-0.429604,-2.65261,0.5,87
1054.68,0.00207359,0.00109454,0,1477.2,0,0,-0.034466,-1.64424e-17,0,3.19419e-08,-6.21667e-08,-1,-0.400657,-2.63436,0.5,88
1054.72,0.00175901,0.000456962,0,1490.89,0,0,-0.0342163,-1.64424e-17,0,1.21014e-08,-7.04314e-08,-1,-0.370997,-2.62228,0.5,89
1054.75,0.00125617,-0.000592731,0,1511.47,0,0,-0.032748,-1.64424e-17,0,-2.35958e-08,-6.90819e-08,-1,-0.334408,-2.62398,0.5,90
1054.74,0.00107067,-0.000999616,0,1523.06,0,0,-0.0231284,-1.64424e-17,0,-4.88205e-08,-5.42737e-08,-1,-0.321276,-2.63319,0.5,91
1054.73,0.000938467,-0.00130024,0,1533.29,0,0,-0.0221694,-1.64424e-17,0,-6.07257e-08,-4.0515e-08,-1,-0.311443,-2.64446,0.5,92
1054.69,0.000668393,-0.00193363,0,1557.61,0,0,-0.0195738,-1.64424e-17,0,-6.81955e-08,-2.60468e-08,-1,-0.294217,-2.6793,0.5,93
1054.65,0.000515844,-0.00227841,0,1572.62,0,0,-0.0169582,-1.64424e-17,0,-7.10476e-08,-1.67724e-08,-1,-0.286014,-2.70888,0.5,94
1054.62,0.000412011,-0.00245561,0,1584.81,0,0,-0.0158242,-1.64424e-17,0,-7.22005e-08,-1.07776e-08,-1,-0.280552,-2.73681,0.5,95
1054.51,0.000150808,-0.00287474,0,1621.94,0,0,-0.0122646,-1.64424e-17,0,-7.28967e-08,-3.8907e-09,-1,-0.271028,-2.82871,0.5,96
1054.35,-0.000123502,-0.00319451,0,1666.34,0,0,-0.00766831,-1.64424e-17,-0,-7.44185e-08,3.60513e-09,-1,-0.270596,-2.95649,0.5,97
1054.15,-0.000519325,-0.0030729,0,1728.82,0,0,-0.00326921,-1.64424e-17,-0,-7.50393e-08,1.19272e-08,-1,-0.290564,-3.15511,0.5,98
1054.07,-0.000782838,-0.00284598,0,1764.42,0,0,-0.00214015,-1.64424e-17,-0,-7.30914e-08,2.07559e-08,-1,-0.31423,-3.26345,0.5,99
1054,-0.00109145,-0.00244403,0,1803.36,0,0,-0.00403489,-1.64424e-17,-0,-6.91967e-08,3.13843e-08,-1,-0.352343,-3.37178,0.5,100
1053.94,-0.0014343,-0.0020335,0,1842.16,0,0,-0.00491293,-1.64424e-17,-0,-6.25269e-08,4.31689e-08,-1,-0.403259,-3.4621,0.5,101
1053.91,-0.00168025,-0.00170542,0,1870.56,0,0,-0.00329734,-1.64424e-17,-0,-5.48285e-08,5.26023e-08,-1,-0.448466,-3.5163,0.5,102
1053.89,-0.0018445,-0.0014936,0,1890.8,0,0,-0.00316991,-1.64424e-17,-0,-4.66961e-08,5.99386e-08,-1,-0.484351,-3.54885,0.5,103
1053.86,-0.00209677,-0.00113402,0,1923.7,-0,0,-0.00482556,-1.64424e-17,0,-3.75258e-08,6.6068e-08,-1,-0.549272,-3.59204,0.5,104
1053.84,-0.00223203,-0.000936979,0,1943.49,0,0,-0.00418302,-1.64424e-17,-0,-2.90753e-08,7.01982e-08,-1,-0.591805,-3.61238,0.5,105
1053.81,-0.00233892,-0.000681907,0,1967.4,0,0,-0.0043449,-1.64424e-17,-0,-2.12124e-08,7.44664e-08,-1,-0.646362,-3.63163,0.5,106
1053.77,-0.00242077,-0.000362415,0,1999.02,0,0,-0.00568597,-1.64424e-17,-0,-1.24024e-08,7.7868e-08,-1,-0.72154,-3.6481,0.5,107
1053.73,-0.00242539,-0.000123745,0,2022.64,0,0,-0.00688985,-1.64424e-17,-0,-3.82341e-09,7.87568e-08,-1,-0.779046,-3.65388,0.5,108
1053.69,-0.00232551,0.000138955,0,2046.48,0,0,-0.00794664,-1.64424e-17,0,5.09123e-09,8.00835e-08,-1,-0.836912,-3.6537,0.5,109
1053.66,-0.00212741,0.000426523,0,2070.42,0,0,-0.00956694,-1.64424e-17,0,1.75358e-08,8.10918e-08,-1,-0.892221,-3.64682,0.5,110
1053.62,-0.00179109,0.000806608,0,2097.88,0,0,-0.0113158,-1.64424e-17,0,3.38226e-08,7.72105e-08,-1,-0.948991,-3.62913,0.5,111
1053.6,-0.00147017,0.00108663,0,2115.88,0,0,-0.012723,-1.64424e-17,0,4.87043e-08,6.87991e-08,-1,-0.97955,-3.61148,0.5,112
1053.59,-0.00126575,0.00126364,0,2126.67,0,0,-0.0172361,-1.64424e-17,0,6.01138e-08,5.90911e-08,-1,-0.994518,-3.59866,0.5,113
1053.59,-0.0010018,0.00148223,0,2137.53,0,0,-0.0180708,-1.64424e-17,0,7.237e-08,4.32204e-08,-1,-1.00688,-3.58371,0.5,114
1053.59,-0.000395026,0.00198926,0,2161.95,0,0,-0.0197873,-1.64424e-17,0,8.17729e-08,2.04602e-08,-1,-1.0232,-3.54351,0.5,115
1053.6,-5.29633e-05,0.0022762,0,2175.18,0,0,-0.0206746,-1.64424e-17,0,8.42491e-08,2.74157e-09,-1,-1.026,-3.51686,0.5,116
1053.6,0.000264401,0.00254021,0,2184.83,0,0,-0.0255378,-1.64424e-17,0,8.39103e-08,-8.03062e-09,-1,-1.02513,-3.49491,0.5,117
